target_symbol,unicode_codepoint,category,source_dataset,hasy_label,uji_label,sample_count,selected_source,probability_map_file,generated_weights,status
+,U+002B,HASY_Selected,HASYv2,+,,90,HASYv2,plus.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
-,U+002D,HASY_Selected,HASYv2,-,,118,HASYv2,minus.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
/,U+002F,HASY_Selected,HASYv2,/,,532,HASYv2,slash.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
#,U+0023,HASY_Selected,HASYv2,\#,,1067,HASYv2,hash.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
%,U+0025,HASY_Selected,HASYv2,\%,%,887,HASYv2,percent.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
&,U+0026,HASY_Selected,HASYv2,\&,,1286,HASYv2,ampersand.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
$,U+0024,HASY_Selected,HASYv2,\$,$,387,HASYv2,dollar.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
<,U+003C,HASY_Selected,HASYv2,<,<,114,HASYv2,less_than.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
>,U+003E,HASY_Selected,HASYv2,>,>,101,HASYv2,greater_than.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
[,U+005B,HASY_Selected,HASYv2,[,,916,HASYv2,left_bracket.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
],U+005D,HASY_Selected,HASYv2,],,259,HASYv2,right_bracket.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
{,U+007B,HASY_Selected,HASYv2,\{,,1136,HASYv2,left_brace.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
},U+007D,HASY_Selected,HASYv2,\},,321,HASYv2,right_brace.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
?,U+003F,Punctuation_UJI,UJI,,?,120,UJI,question.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
.,U+002E,Punctuation_UJI,UJI,,.,120,UJI,period.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
;,U+003B,Punctuation_UJI,UJI,,;,120,UJI,semicolon.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
:,U+003A,Punctuation_UJI,UJI,,:,120,UJI,colon.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
',U+0027,Punctuation_UJI,UJI,,',120,UJI,apostrophe.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
"""",U+0022,Punctuation_UJI,UJI,,"""",120,UJI,quote.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
@,U+0040,Punctuation_UJI,UJI,,@,120,UJI,at.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
¿,U+00BF,Punctuation_UJI,UJI,,¿,120,UJI,inverted_question.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
¡,U+00A1,Punctuation_UJI,UJI,,¡,120,UJI,inverted_exclamation.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
€,U+20AC,Punctuation_UJI,UJI,,€,120,UJI,euro.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
ü,U+00FC,Letters_UJI,UJI,,ü,120,UJI,latin_lower_u_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
Ü,U+00DC,Letters_UJI,UJI,,Ü,120,UJI,latin_upper_u_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
t,U+0074,Letters_UJI,UJI,,t,120,UJI,latin_lower_t.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
Ä,U+00C4,Letters_UJI,HASYv2+UJI,A,Ü,279,HASYv2+UJI,latin_upper_a_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
ä,U+00E4,Letters_UJI,HASYv2+UJI,a,ü,206,HASYv2+UJI,latin_lower_a_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
Ö,U+00D6,Letters_UJI,HASYv2+UJI,O,Ü,204,HASYv2+UJI,latin_upper_o_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
ö,U+00F6,Letters_UJI,HASYv2+UJI,o,ü,182,HASYv2+UJI,latin_lower_o_diaeresis.png,black extra_bold bold semi_bold medium regular light extra_light thin,generated
